Month,Date,Hour,temperature,humidity
10,27,0,25,83
10,27,1,25,83
10,27,2,25,83
10,27,3,25,83
10,27,4,24,89
10,27,5,24,89
10,27,6,24,89
10,27,7,24,85
10,27,8,26,79
10,27,9,27,70
10,27,10,28,66
10,27,11,28,66
10,27,12,29,62
10,27,13,29,58
10,27,14,29,62
10,27,15,29,62
10,27,16,29,62
10,27,17,28,66
10,27,18,26,66
10,27,19,26,84
10,27,20,27,70
10,27,21,26,74
10,27,22,25,83
10,27,23,25,79
10,28,0,24,83
10,28,1,25,79
10,28,2,24,89
10,28,3,24,89
10,28,4,24,83
10,28,5,24,89
10,28,6,24,79
10,28,7,24,70
10,28,8,25,66
10,28,9,27,58
10,28,10,28,55
10,28,11,29,49
10,28,12,30,49
10,28,13,31,49
10,28,14,31,49
10,28,15,31,55
10,28,16,30,55
10,28,17,29,66
10,28,18,29,66
10,28,19,27,66
10,28,20,27,70
10,28,21,27,70
10,28,22,26,70
10,28,23,25,74
10,29,0,26,70
10,29,1,25,70
10,29,2,25,79
10,29,3,24,79
10,29,4,24,89
10,29,5,24,83
10,29,6,24,89
10,29,7,25,75
10,29,8,25,79
10,29,9,26,70
10,29,10,27,62
10,29,11,28,58
10,29,12,29,55
10,29,13,30,52
10,29,14,30,49
10,29,15,30,52
10,29,16,30,62
10,29,17,28,70
10,29,18,27,74
10,29,19,26,79
10,29,20,25,83
10,29,21,25,83
10,29,22,24,83
10,29,23,24,83
10,30,0,23,89
10,30,1,23,89
10,30,2,22,88
10,30,3,22,94
10,30,4,22,88
10,30,5,22,88
10,30,6,21,94
10,30,7,22,88
10,30,8,23,74
10,30,9,25,58
10,30,10,27,62
10,30,11,28,58
10,30,12,30,55
10,30,13,29,52
10,30,14,29,58
10,30,15,29,62
10,30,16,29,58
10,30,17,27,62
10,30,18,27,70
10,30,19,26,70
10,30,20,26,79
10,30,21,26,74
10,30,22,25,79
10,30,23,25,78
10,31,0,24,78
10,31,1,24,74
10,31,2,24,74
10,31,3,23,74
10,31,4,23,74
10,31,5,22,73
10,31,6,22,73
10,31,7,23,83
10,31,8,25,61
10,31,9,27,54
10,31,10,27,48
10,31,11,28,45
10,31,12,30,43
10,31,13,29,43
10,31,14,29,45
10,31,15,29,43
10,31,16,29,45
10,31,17,28,48
10,31,18,26,51
10,31,19,25,51
10,31,20,24,54
10,31,21,24,69
10,31,22,23,61
10,31,23,23,64
11,1,0,22,65
11,1,1,21,69
11,1,2,21,64
11,1,3,21,64
11,1,4,22,50
11,1,5,23,50
11,1,6,22,53
11,1,7,21,60
11,1,8,24,57
11,1,9,26,48
11,1,10,28,40
11,1,11,29,40
11,1,12,29,38
11,1,13,29,38
11,1,14,30,38
11,1,15,30,38
11,1,16,29,40
11,1,17,28,45
11,1,18,26,51
11,1,19,24,57
11,1,20,22,65
11,1,21,22,69
11,1,22,21,69
11,1,23,22,65
11,2,0,19,78
11,2,1,20,73
11,2,2,19,78
11,2,3,19,83
11,2,4,18,83
11,2,5,17,88
11,2,6,18,88
11,2,7,20,88
11,2,8,21,83
11,2,9,23,69
11,2,10,25,57
11,2,11,28,40
11,2,12,29,40
11,2,13,30,40
11,2,14,29,42
11,2,15,29,40
11,2,16,29,40
11,2,17,28,47
11,2,18,27,50
11,2,19,26,57
11,2,20,22,73
11,2,21,22,65
11,2,22,21,69
11,2,23,20,73
11,3,0,20,73
11,3,1,20,73
11,3,2,20,73
11,3,3,19,78
11,3,4,18,83
11,3,5,18,83
11,3,6,18,83
11,3,7,19,80
11,3,8,20,73
11,3,9,22,65
11,3,10,25,54
11,3,11,28,48
11,3,12,29,40
11,3,13,29,40
11,3,14,30,40
11,3,15,30,40
11,3,16,29,42
11,3,17,28,48
11,3,18,27,50
11,3,19,24,61
11,3,20,23,65
11,3,21,21,65
11,3,22,22,78
11,3,23,22,73
11,4,0,21,78
11,4,1,20,78
11,4,2,20,78
11,4,3,20,83
11,4,4,20,78
11,4,5,19,88
11,4,6,19,83
11,4,7,20,85
11,4,8,21,74
11,4,9,24,65
11,4,10,26,61
11,4,11,27,51
11,4,12,29,45
11,4,13,30,43
11,4,14,30,40
11,4,15,30,40
11,4,16,29,45
11,4,17,28,48
11,4,18,26,54
11,4,19,25,61
11,4,20,24,74
11,4,21,23,74
11,4,22,24,74
11,4,23,22,74
11,5,0,23,78
11,5,1,22,83
11,5,2,21,83
11,5,3,21,83
11,5,4,20,85
11,5,5,20,83
11,5,6,21,80
11,5,7,23,83
11,5,8,24,74
11,5,9,26,54
11,5,10,27,48
11,5,11,27,48
11,5,12,28,48
11,5,13,29,45
11,5,14,29,40
11,5,15,30,43
11,5,16,29,45
11,5,17,27,51
11,5,18,26,58
11,5,19,25,61
11,5,20,24,69
11,5,21,23,74
11,5,22,23,78
11,5,23,23,78
11,6,0,22,80
11,6,1,21,85
11,6,2,21,85
11,6,3,20,87
11,6,4,21,85
11,6,5,20,85
11,6,6,20,85
11,6,7,21,85
11,6,8,22,83
11,6,9,23,74
11,6,10,24,61
11,6,11,25,58
11,6,12,26,58
11,6,13,26,58
11,6,14,27,51
11,6,15,28,48
11,6,16,27,51
11,6,17,26,54
11,6,18,24,61
11,6,19,23,65
11,6,20,23,69
11,6,21,23,69
11,6,22,23,74
11,6,23,21,83
11,7,0,22,83
11,7,1,21,83
11,7,2,21,84
11,7,3,21,83
11,7,4,20,85
11,7,5,20,87
11,7,6,19,90
11,7,7,20,87
11,7,8,21,83
11,7,9,24,74
11,7,10,25,69
11,7,11,26,65
11,7,12,27,58
11,7,13,28,55
11,7,14,28,55
11,7,15,28,51
11,7,16,27,54
11,7,17,27,58
11,7,18,25,61
11,7,19,24,69
11,7,20,23,78
11,7,21,22,82
11,7,22,23,82
11,7,23,22,83
11,8,0,22,83
11,8,1,21,80
11,8,2,20,79
11,8,3,21,80
11,8,4,21,82
11,8,5,20,85
11,8,6,21,85
11,8,7,22,82
11,8,8,24,78
11,8,9,26,67
11,8,10,27,58
11,8,11,29,49
11,8,12,30,45
11,8,13,30,43
11,8,14,29,46
11,8,15,28,50
11,8,16,26,56
11,8,17,27,58
11,8,18,26,60
11,8,19,25,62
11,8,20,25,65
11,8,21,24,67
11,8,22,24,70
11,8,23,23,73
11,9,0,23,73
11,9,1,23,74
11,9,2,22,75
11,9,3,22,77
11,9,4,21,80
11,9,5,20,84
11,9,6,21,87
11,9,7,22,86
11,9,8,24,78
11,9,9,26,67
11,9,10,27,57
11,9,11,29,49
11,9,12,30,46
11,9,13,30,45
11,9,14,32,43
11,9,15,31,44
11,9,16,30,47
11,9,17,28,52
11,9,18,28,56
11,9,19,27,61
11,9,20,26,65
11,9,21,25,69
11,9,22,25,71
11,9,23,24,74
11,10,0,24,83
11,10,1,24,83
11,10,2,23,89
11,10,3,23,89
11,10,4,22,94
11,10,5,22,94
11,10,6,22,94
11,10,7,23,89
11,10,8,24,89
11,10,9,25,79
11,10,10,26,74
11,10,11,27,70
11,10,12,27,70
11,10,13,26,74
11,10,14,26,74
11,10,15,26,74
11,10,16,26,74
11,10,17,26,74
11,10,18,26,74
11,10,19,25,79
11,10,20,25,79
11,10,21,26,74
11,10,22,26,74
11,10,23,25,79
11,11,0,24,83
11,11,1,24,89
11,11,2,24,89
11,11,3,24,89
11,11,4,23,94
11,11,5,23,89
11,11,6,23,94
11,11,7,23,94
11,11,8,24,89
11,11,9,25,83
11,11,10,26,74
11,11,11,27,66
11,11,12,28,70
11,11,13,30,66
11,11,14,29,62
11,11,15,29,59
11,11,16,28,66
11,11,17,27,79
11,11,18,27,74
11,11,19,26,79
11,11,20,25,79
11,11,21,24,83
11,11,22,25,83
11,11,23,25,83
11,12,0,25,83
11,12,1,24,89
11,12,2,24,91
11,12,3,24,91
11,12,4,24,93
11,12,5,23,96
11,12,6,23,96
11,12,7,23,90
11,12,8,24,82
11,12,9,25,75
11,12,10,27,69
11,12,11,28,65
11,12,12,29,62
11,12,13,29,58
11,12,14,29,58
11,12,15,30,58
11,12,16,30,60
11,12,17,29,64
11,12,18,27,72
11,12,19,26,76
11,12,20,26,83
11,12,21,25,86
11,12,22,25,88
11,12,23,24,88
